PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 0
Output Path: ../my-logs/afad-ce-0.4-3
Script: afad-ce.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 3.4825
Epoch: 001/050 | Batch 0050/0462 | Cost: 3.0279
Epoch: 001/050 | Batch 0100/0462 | Cost: 2.9856
Epoch: 001/050 | Batch 0150/0462 | Cost: 2.9599
Epoch: 001/050 | Batch 0200/0462 | Cost: 2.9251
Epoch: 001/050 | Batch 0250/0462 | Cost: 2.9296
Epoch: 001/050 | Batch 0300/0462 | Cost: 2.9330
Epoch: 001/050 | Batch 0350/0462 | Cost: 2.8905
Epoch: 001/050 | Batch 0400/0462 | Cost: 2.8757
Epoch: 001/050 | Batch 0450/0462 | Cost: 2.8504
MAE/RMSE: | Current Valid: 8.58/9.63 Ep. 0 | Best Valid : 8.58/9.63 Ep. 0
Time elapsed: 3.29 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 2.8598
Epoch: 002/050 | Batch 0050/0462 | Cost: 2.8666
Epoch: 002/050 | Batch 0100/0462 | Cost: 2.8949
Epoch: 002/050 | Batch 0150/0462 | Cost: 2.8641
Epoch: 002/050 | Batch 0200/0462 | Cost: 2.8895
Epoch: 002/050 | Batch 0250/0462 | Cost: 2.8960
Epoch: 002/050 | Batch 0300/0462 | Cost: 2.8787
Epoch: 002/050 | Batch 0350/0462 | Cost: 2.8595
Epoch: 002/050 | Batch 0400/0462 | Cost: 2.7868
Epoch: 002/050 | Batch 0450/0462 | Cost: 2.8518
MAE/RMSE: | Current Valid: 7.47/8.98 Ep. 1 | Best Valid : 7.47/8.98 Ep. 1
Time elapsed: 6.58 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 2.8540
Epoch: 003/050 | Batch 0050/0462 | Cost: 2.8732
Epoch: 003/050 | Batch 0100/0462 | Cost: 2.8279
Epoch: 003/050 | Batch 0150/0462 | Cost: 2.8249
Epoch: 003/050 | Batch 0200/0462 | Cost: 2.8464
Epoch: 003/050 | Batch 0250/0462 | Cost: 2.7695
Epoch: 003/050 | Batch 0300/0462 | Cost: 2.8872
Epoch: 003/050 | Batch 0350/0462 | Cost: 2.8357
Epoch: 003/050 | Batch 0400/0462 | Cost: 2.8469
Epoch: 003/050 | Batch 0450/0462 | Cost: 2.8403
MAE/RMSE: | Current Valid: 11.01/11.91 Ep. 2 | Best Valid : 7.47/8.98 Ep. 1
Time elapsed: 9.87 min
Epoch: 004/050 | Batch 0000/0462 | Cost: 2.8451
Epoch: 004/050 | Batch 0050/0462 | Cost: 2.8051
Epoch: 004/050 | Batch 0100/0462 | Cost: 2.7709
Epoch: 004/050 | Batch 0150/0462 | Cost: 2.8344
Epoch: 004/050 | Batch 0200/0462 | Cost: 2.7838
Epoch: 004/050 | Batch 0250/0462 | Cost: 2.7763
Epoch: 004/050 | Batch 0300/0462 | Cost: 2.7617
Epoch: 004/050 | Batch 0350/0462 | Cost: 2.8738
Epoch: 004/050 | Batch 0400/0462 | Cost: 2.8156
Epoch: 004/050 | Batch 0450/0462 | Cost: 2.8455
MAE/RMSE: | Current Valid: 8.13/9.50 Ep. 3 | Best Valid : 7.47/8.98 Ep. 1
Time elapsed: 13.15 min
Epoch: 005/050 | Batch 0000/0462 | Cost: 2.7335
Epoch: 005/050 | Batch 0050/0462 | Cost: 2.8421
Epoch: 005/050 | Batch 0100/0462 | Cost: 2.7496
Epoch: 005/050 | Batch 0150/0462 | Cost: 2.8835
Epoch: 005/050 | Batch 0200/0462 | Cost: 2.8411
Epoch: 005/050 | Batch 0250/0462 | Cost: 2.8752
Epoch: 005/050 | Batch 0300/0462 | Cost: 2.8193
Epoch: 005/050 | Batch 0350/0462 | Cost: 2.8261
Epoch: 005/050 | Batch 0400/0462 | Cost: 2.8109
Epoch: 005/050 | Batch 0450/0462 | Cost: 2.8307
MAE/RMSE: | Current Valid: 8.84/10.19 Ep. 4 | Best Valid : 7.47/8.98 Ep. 1
Time elapsed: 16.44 min
Epoch: 006/050 | Batch 0000/0462 | Cost: 2.6934
Epoch: 006/050 | Batch 0050/0462 | Cost: 2.8088
Epoch: 006/050 | Batch 0100/0462 | Cost: 2.7697
Epoch: 006/050 | Batch 0150/0462 | Cost: 2.7940
Epoch: 006/050 | Batch 0200/0462 | Cost: 2.7432
Epoch: 006/050 | Batch 0250/0462 | Cost: 2.8342
Epoch: 006/050 | Batch 0300/0462 | Cost: 2.8078
Epoch: 006/050 | Batch 0350/0462 | Cost: 2.7470
