PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 1
Output Path: ../my-logs/afad-ce-0.4-3-seed1
Script: afad-ce.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 3.4495
Epoch: 001/050 | Batch 0050/0462 | Cost: 3.0527
Epoch: 001/050 | Batch 0100/0462 | Cost: 2.9480
Epoch: 001/050 | Batch 0150/0462 | Cost: 2.8836
Epoch: 001/050 | Batch 0200/0462 | Cost: 3.0056
Epoch: 001/050 | Batch 0250/0462 | Cost: 2.9225
Epoch: 001/050 | Batch 0300/0462 | Cost: 2.8914
Epoch: 001/050 | Batch 0350/0462 | Cost: 2.8491
Epoch: 001/050 | Batch 0400/0462 | Cost: 2.9051
Epoch: 001/050 | Batch 0450/0462 | Cost: 2.9150
MAE/RMSE: | Current Valid: 9.15/10.38 Ep. 0 | Best Valid : 9.15/10.38 Ep. 0
Time elapsed: 2.99 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 2.9565
Epoch: 002/050 | Batch 0050/0462 | Cost: 2.8861
Epoch: 002/050 | Batch 0100/0462 | Cost: 2.9277
Epoch: 002/050 | Batch 0150/0462 | Cost: 2.8917
Epoch: 002/050 | Batch 0200/0462 | Cost: 2.8826
Epoch: 002/050 | Batch 0250/0462 | Cost: 2.7847
Epoch: 002/050 | Batch 0300/0462 | Cost: 2.9242
Epoch: 002/050 | Batch 0350/0462 | Cost: 2.9668
Epoch: 002/050 | Batch 0400/0462 | Cost: 2.8787
Epoch: 002/050 | Batch 0450/0462 | Cost: 2.8557
MAE/RMSE: | Current Valid: 8.08/9.25 Ep. 1 | Best Valid : 8.08/9.25 Ep. 1
Time elapsed: 6.28 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 2.8088
Epoch: 003/050 | Batch 0050/0462 | Cost: 2.8239
Epoch: 003/050 | Batch 0100/0462 | Cost: 2.8210
Epoch: 003/050 | Batch 0150/0462 | Cost: 2.8910
Epoch: 003/050 | Batch 0200/0462 | Cost: 2.8079
Epoch: 003/050 | Batch 0250/0462 | Cost: 2.8821
Epoch: 003/050 | Batch 0300/0462 | Cost: 2.7642
Epoch: 003/050 | Batch 0350/0462 | Cost: 2.8286
Epoch: 003/050 | Batch 0400/0462 | Cost: 2.8946
Epoch: 003/050 | Batch 0450/0462 | Cost: 2.9107
MAE/RMSE: | Current Valid: 7.64/9.26 Ep. 2 | Best Valid : 7.64/9.26 Ep. 2
Time elapsed: 9.58 min
Epoch: 004/050 | Batch 0000/0462 | Cost: 2.7640
Epoch: 004/050 | Batch 0050/0462 | Cost: 2.7595
Epoch: 004/050 | Batch 0100/0462 | Cost: 2.8032
Epoch: 004/050 | Batch 0150/0462 | Cost: 2.9200
Epoch: 004/050 | Batch 0200/0462 | Cost: 2.8056
Epoch: 004/050 | Batch 0250/0462 | Cost: 2.8890
Epoch: 004/050 | Batch 0300/0462 | Cost: 2.8873
Epoch: 004/050 | Batch 0350/0462 | Cost: 2.8253
Epoch: 004/050 | Batch 0400/0462 | Cost: 2.8317
Epoch: 004/050 | Batch 0450/0462 | Cost: 2.8604
MAE/RMSE: | Current Valid: 7.33/8.83 Ep. 3 | Best Valid : 7.33/8.83 Ep. 3
Time elapsed: 12.88 min
Epoch: 005/050 | Batch 0000/0462 | Cost: 2.7674
Epoch: 005/050 | Batch 0050/0462 | Cost: 2.7279
Epoch: 005/050 | Batch 0100/0462 | Cost: 2.8703
Epoch: 005/050 | Batch 0150/0462 | Cost: 2.9030
Epoch: 005/050 | Batch 0200/0462 | Cost: 2.8103
Epoch: 005/050 | Batch 0250/0462 | Cost: 2.7845
Epoch: 005/050 | Batch 0300/0462 | Cost: 2.7301
Epoch: 005/050 | Batch 0350/0462 | Cost: 2.8055
Epoch: 005/050 | Batch 0400/0462 | Cost: 2.8082
Epoch: 005/050 | Batch 0450/0462 | Cost: 2.8494
MAE/RMSE: | Current Valid: 7.50/8.96 Ep. 4 | Best Valid : 7.33/8.83 Ep. 3
Time elapsed: 16.18 min
Epoch: 006/050 | Batch 0000/0462 | Cost: 2.7631
Epoch: 006/050 | Batch 0050/0462 | Cost: 2.8300
Epoch: 006/050 | Batch 0100/0462 | Cost: 2.7099
Epoch: 006/050 | Batch 0150/0462 | Cost: 2.7319
Epoch: 006/050 | Batch 0200/0462 | Cost: 2.8307
Epoch: 006/050 | Batch 0250/0462 | Cost: 2.8254
Epoch: 006/050 | Batch 0300/0462 | Cost: 2.8569
Epoch: 006/050 | Batch 0350/0462 | Cost: 2.8176
Epoch: 006/050 | Batch 0400/0462 | Cost: 2.7839
Epoch: 006/050 | Batch 0450/0462 | Cost: 2.7651
MAE/RMSE: | Current Valid: 7.11/8.74 Ep. 5 | Best Valid : 7.11/8.74 Ep. 5
Time elapsed: 19.49 min
Epoch: 007/050 | Batch 0000/0462 | Cost: 2.6911
Epoch: 007/050 | Batch 0050/0462 | Cost: 2.7509
Epoch: 007/050 | Batch 0100/0462 | Cost: 2.8295
Epoch: 007/050 | Batch 0150/0462 | Cost: 2.7448
Epoch: 007/050 | Batch 0200/0462 | Cost: 2.7826
Epoch: 007/050 | Batch 0250/0462 | Cost: 2.8064
Epoch: 007/050 | Batch 0300/0462 | Cost: 2.7361
Epoch: 007/050 | Batch 0350/0462 | Cost: 2.7601
