PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 0
Output Path: ../my-logs/afad-ce
Script: afad-ce.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 3.4746
Epoch: 001/050 | Batch 0050/0462 | Cost: 2.9217
Epoch: 001/050 | Batch 0100/0462 | Cost: 2.8695
Epoch: 001/050 | Batch 0150/0462 | Cost: 2.8546
Epoch: 001/050 | Batch 0200/0462 | Cost: 2.8398
Epoch: 001/050 | Batch 0250/0462 | Cost: 2.8258
Epoch: 001/050 | Batch 0300/0462 | Cost: 2.8011
Epoch: 001/050 | Batch 0350/0462 | Cost: 2.7633
Epoch: 001/050 | Batch 0400/0462 | Cost: 2.6927
Epoch: 001/050 | Batch 0450/0462 | Cost: 2.7406
MAE/RMSE: | Current Test: 4.80/6.67 Ep. 0 | Best Test : 4.80/6.67 Ep. 0
Time elapsed: 2.52 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 2.7138
Epoch: 002/050 | Batch 0050/0462 | Cost: 2.7264
Epoch: 002/050 | Batch 0100/0462 | Cost: 2.7045
Epoch: 002/050 | Batch 0150/0462 | Cost: 2.7431
Epoch: 002/050 | Batch 0200/0462 | Cost: 2.7642
Epoch: 002/050 | Batch 0250/0462 | Cost: 2.7385
Epoch: 002/050 | Batch 0300/0462 | Cost: 2.7571
Epoch: 002/050 | Batch 0350/0462 | Cost: 2.7528
Epoch: 002/050 | Batch 0400/0462 | Cost: 2.6774
Epoch: 002/050 | Batch 0450/0462 | Cost: 2.7727
MAE/RMSE: | Current Test: 4.53/6.30 Ep. 1 | Best Test : 4.53/6.30 Ep. 1
Time elapsed: 5.98 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 2.7192
Epoch: 003/050 | Batch 0050/0462 | Cost: 2.7178
Epoch: 003/050 | Batch 0100/0462 | Cost: 2.7426
Epoch: 003/050 | Batch 0150/0462 | Cost: 2.7211
Epoch: 003/050 | Batch 0200/0462 | Cost: 2.6559
Epoch: 003/050 | Batch 0250/0462 | Cost: 2.6198
Epoch: 003/050 | Batch 0300/0462 | Cost: 2.7208
Epoch: 003/050 | Batch 0350/0462 | Cost: 2.6500
Epoch: 003/050 | Batch 0400/0462 | Cost: 2.7140
Epoch: 003/050 | Batch 0450/0462 | Cost: 2.7138
MAE/RMSE: | Current Test: 4.44/6.23 Ep. 2 | Best Test : 4.44/6.23 Ep. 2
Time elapsed: 9.43 min
