PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 0
Task Importance Weight: 0
Output Path: ../my-logs/afad-coral-0.4-3
Script: afad-coral.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 17.9614
Epoch: 001/050 | Batch 0050/0462 | Cost: 16.2635
Epoch: 001/050 | Batch 0100/0462 | Cost: 16.1847
Epoch: 001/050 | Batch 0150/0462 | Cost: 15.9962
Epoch: 001/050 | Batch 0200/0462 | Cost: 15.6161
Epoch: 001/050 | Batch 0250/0462 | Cost: 15.4553
Epoch: 001/050 | Batch 0300/0462 | Cost: 15.2594
Epoch: 001/050 | Batch 0350/0462 | Cost: 15.1697
Epoch: 001/050 | Batch 0400/0462 | Cost: 14.6350
Epoch: 001/050 | Batch 0450/0462 | Cost: 14.7535
MAE/RMSE: | Current Valid: 13.67/15.36 Ep. 0 | Best Valid : 13.67/15.36 Ep. 0
Time elapsed: 1.58 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 14.3111
Epoch: 002/050 | Batch 0050/0462 | Cost: 14.5443
Epoch: 002/050 | Batch 0100/0462 | Cost: 14.2490
Epoch: 002/050 | Batch 0150/0462 | Cost: 13.9584
Epoch: 002/050 | Batch 0200/0462 | Cost: 13.8848
Epoch: 002/050 | Batch 0250/0462 | Cost: 13.6023
Epoch: 002/050 | Batch 0300/0462 | Cost: 14.0996
Epoch: 002/050 | Batch 0350/0462 | Cost: 13.6753
Epoch: 002/050 | Batch 0400/0462 | Cost: 13.5265
Epoch: 002/050 | Batch 0450/0462 | Cost: 13.7185
MAE/RMSE: | Current Valid: 8.12/9.65 Ep. 1 | Best Valid : 8.12/9.65 Ep. 1
Time elapsed: 3.16 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 13.2693
Epoch: 003/050 | Batch 0050/0462 | Cost: 13.0041
Epoch: 003/050 | Batch 0100/0462 | Cost: 13.3424
Epoch: 003/050 | Batch 0150/0462 | Cost: 13.1168
Epoch: 003/050 | Batch 0200/0462 | Cost: 12.7190
Epoch: 003/050 | Batch 0250/0462 | Cost: 12.6751
Epoch: 003/050 | Batch 0300/0462 | Cost: 12.4323
Epoch: 003/050 | Batch 0350/0462 | Cost: 12.5583
Epoch: 003/050 | Batch 0400/0462 | Cost: 12.8496
Epoch: 003/050 | Batch 0450/0462 | Cost: 12.0876
MAE/RMSE: | Current Valid: 9.09/10.59 Ep. 2 | Best Valid : 8.12/9.65 Ep. 1
Time elapsed: 4.81 min
Epoch: 004/050 | Batch 0000/0462 | Cost: 12.3476
Epoch: 004/050 | Batch 0050/0462 | Cost: 12.3488
Epoch: 004/050 | Batch 0100/0462 | Cost: 12.0862
Epoch: 004/050 | Batch 0150/0462 | Cost: 11.7674
