PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 1
Task Importance Weight: 0
Output Path: ../my-logs/afad-coral-0.4-3-seed1
Script: afad-coral.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 19.6050
Epoch: 001/050 | Batch 0050/0462 | Cost: 16.1751
Epoch: 001/050 | Batch 0100/0462 | Cost: 16.2588
Epoch: 001/050 | Batch 0150/0462 | Cost: 15.8459
Epoch: 001/050 | Batch 0200/0462 | Cost: 15.6160
Epoch: 001/050 | Batch 0250/0462 | Cost: 16.0056
Epoch: 001/050 | Batch 0300/0462 | Cost: 14.9746
Epoch: 001/050 | Batch 0350/0462 | Cost: 15.4102
Epoch: 001/050 | Batch 0400/0462 | Cost: 14.6923
Epoch: 001/050 | Batch 0450/0462 | Cost: 15.0193
MAE/RMSE: | Current Valid: 11.14/13.01 Ep. 0 | Best Valid : 11.14/13.01 Ep. 0
Time elapsed: 3.32 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 14.7410
Epoch: 002/050 | Batch 0050/0462 | Cost: 14.3298
Epoch: 002/050 | Batch 0100/0462 | Cost: 14.5567
Epoch: 002/050 | Batch 0150/0462 | Cost: 14.3070
Epoch: 002/050 | Batch 0200/0462 | Cost: 14.1091
Epoch: 002/050 | Batch 0250/0462 | Cost: 13.5024
Epoch: 002/050 | Batch 0300/0462 | Cost: 13.7218
Epoch: 002/050 | Batch 0350/0462 | Cost: 13.7914
Epoch: 002/050 | Batch 0400/0462 | Cost: 13.4692
Epoch: 002/050 | Batch 0450/0462 | Cost: 13.8203
MAE/RMSE: | Current Valid: 17.11/17.79 Ep. 1 | Best Valid : 11.14/13.01 Ep. 0
Time elapsed: 6.64 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 13.3505
Epoch: 003/050 | Batch 0050/0462 | Cost: 13.2843
Epoch: 003/050 | Batch 0100/0462 | Cost: 13.2337
Epoch: 003/050 | Batch 0150/0462 | Cost: 13.0752
Epoch: 003/050 | Batch 0200/0462 | Cost: 13.0178
Epoch: 003/050 | Batch 0250/0462 | Cost: 12.7636
Epoch: 003/050 | Batch 0300/0462 | Cost: 12.9629
Epoch: 003/050 | Batch 0350/0462 | Cost: 12.2186
Epoch: 003/050 | Batch 0400/0462 | Cost: 12.5260
Epoch: 003/050 | Batch 0450/0462 | Cost: 12.5391
MAE/RMSE: | Current Valid: 8.49/9.77 Ep. 2 | Best Valid : 8.49/9.77 Ep. 2
Time elapsed: 9.96 min
Epoch: 004/050 | Batch 0000/0462 | Cost: 12.5181
Epoch: 004/050 | Batch 0050/0462 | Cost: 12.6701
Epoch: 004/050 | Batch 0100/0462 | Cost: 12.0349
Epoch: 004/050 | Batch 0150/0462 | Cost: 11.9254
Epoch: 004/050 | Batch 0200/0462 | Cost: 11.7882
Epoch: 004/050 | Batch 0250/0462 | Cost: 11.6083
Epoch: 004/050 | Batch 0300/0462 | Cost: 11.6791
Epoch: 004/050 | Batch 0350/0462 | Cost: 11.6681
Epoch: 004/050 | Batch 0400/0462 | Cost: 11.3138
Epoch: 004/050 | Batch 0450/0462 | Cost: 11.1194
MAE/RMSE: | Current Valid: 8.42/9.54 Ep. 3 | Best Valid : 8.42/9.54 Ep. 3
Time elapsed: 13.27 min
Epoch: 005/050 | Batch 0000/0462 | Cost: 11.6675
Epoch: 005/050 | Batch 0050/0462 | Cost: 11.5920
Epoch: 005/050 | Batch 0100/0462 | Cost: 11.7308
Epoch: 005/050 | Batch 0150/0462 | Cost: 11.3851
Epoch: 005/050 | Batch 0200/0462 | Cost: 11.6746
Epoch: 005/050 | Batch 0250/0462 | Cost: 10.9657
Epoch: 005/050 | Batch 0300/0462 | Cost: 10.9573
Epoch: 005/050 | Batch 0350/0462 | Cost: 10.5122
Epoch: 005/050 | Batch 0400/0462 | Cost: 11.0076
Epoch: 005/050 | Batch 0450/0462 | Cost: 10.7422
MAE/RMSE: | Current Valid: 8.88/10.23 Ep. 4 | Best Valid : 8.42/9.54 Ep. 3
Time elapsed: 16.58 min
Epoch: 006/050 | Batch 0000/0462 | Cost: 10.9594
Epoch: 006/050 | Batch 0050/0462 | Cost: 10.9025
Epoch: 006/050 | Batch 0100/0462 | Cost: 10.6539
Epoch: 006/050 | Batch 0150/0462 | Cost: 10.5589
Epoch: 006/050 | Batch 0200/0462 | Cost: 10.8045
Epoch: 006/050 | Batch 0250/0462 | Cost: 10.4826
Epoch: 006/050 | Batch 0300/0462 | Cost: 10.6313
Epoch: 006/050 | Batch 0350/0462 | Cost: 10.6970
Epoch: 006/050 | Batch 0400/0462 | Cost: 10.1494
Epoch: 006/050 | Batch 0450/0462 | Cost: 9.9812
MAE/RMSE: | Current Valid: 7.70/8.79 Ep. 5 | Best Valid : 7.70/8.79 Ep. 5
Time elapsed: 19.90 min
Epoch: 007/050 | Batch 0000/0462 | Cost: 10.1637
Epoch: 007/050 | Batch 0050/0462 | Cost: 10.0522
Epoch: 007/050 | Batch 0100/0462 | Cost: 10.1090
Epoch: 007/050 | Batch 0150/0462 | Cost: 9.6177
Epoch: 007/050 | Batch 0200/0462 | Cost: 9.7703
Epoch: 007/050 | Batch 0250/0462 | Cost: 10.5077
Epoch: 007/050 | Batch 0300/0462 | Cost: 9.3933
Epoch: 007/050 | Batch 0350/0462 | Cost: 10.4575
Epoch: 007/050 | Batch 0400/0462 | Cost: 9.9974
Epoch: 007/050 | Batch 0450/0462 | Cost: 9.8272
MAE/RMSE: | Current Valid: 7.33/8.49 Ep. 6 | Best Valid : 7.33/8.49 Ep. 6
Time elapsed: 23.21 min
Epoch: 008/050 | Batch 0000/0462 | Cost: 9.8715
Epoch: 008/050 | Batch 0050/0462 | Cost: 9.8877
Epoch: 008/050 | Batch 0100/0462 | Cost: 9.9288
Epoch: 008/050 | Batch 0150/0462 | Cost: 9.6095
Epoch: 008/050 | Batch 0200/0462 | Cost: 9.7514
Epoch: 008/050 | Batch 0250/0462 | Cost: 9.5920
Epoch: 008/050 | Batch 0300/0462 | Cost: 9.7259
Epoch: 008/050 | Batch 0350/0462 | Cost: 9.5975
Epoch: 008/050 | Batch 0400/0462 | Cost: 9.7324
Epoch: 008/050 | Batch 0450/0462 | Cost: 9.8464
