PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 0
Task Importance Weight: 0
Output Path: ../my-logs/afad-coral
Script: afad-coral.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 17.9399
Epoch: 001/050 | Batch 0050/0462 | Cost: 16.0494
Epoch: 001/050 | Batch 0100/0462 | Cost: 15.9490
Epoch: 001/050 | Batch 0150/0462 | Cost: 16.0196
Epoch: 001/050 | Batch 0200/0462 | Cost: 15.5923
Epoch: 001/050 | Batch 0250/0462 | Cost: 15.3160
Epoch: 001/050 | Batch 0300/0462 | Cost: 15.0819
Epoch: 001/050 | Batch 0350/0462 | Cost: 15.0414
Epoch: 001/050 | Batch 0400/0462 | Cost: 14.5524
Epoch: 001/050 | Batch 0450/0462 | Cost: 14.5731
MAE/RMSE: | Current Valid: 12.34/14.17 Ep. 0 | Best Valid : 12.34/14.17 Ep. 0
Time elapsed: 3.31 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 14.1834
Epoch: 002/050 | Batch 0050/0462 | Cost: 14.6150
Epoch: 002/050 | Batch 0100/0462 | Cost: 14.2568
Epoch: 002/050 | Batch 0150/0462 | Cost: 13.8363
Epoch: 002/050 | Batch 0200/0462 | Cost: 13.8315
Epoch: 002/050 | Batch 0250/0462 | Cost: 13.5577
Epoch: 002/050 | Batch 0300/0462 | Cost: 13.9237
Epoch: 002/050 | Batch 0350/0462 | Cost: 13.5252
Epoch: 002/050 | Batch 0400/0462 | Cost: 13.2683
Epoch: 002/050 | Batch 0450/0462 | Cost: 13.4945
MAE/RMSE: | Current Valid: 10.54/12.31 Ep. 1 | Best Valid : 10.54/12.31 Ep. 1
Time elapsed: 6.60 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 13.0807
Epoch: 003/050 | Batch 0050/0462 | Cost: 12.6083
Epoch: 003/050 | Batch 0100/0462 | Cost: 12.8691
Epoch: 003/050 | Batch 0150/0462 | Cost: 12.9005
Epoch: 003/050 | Batch 0200/0462 | Cost: 12.4357
Epoch: 003/050 | Batch 0250/0462 | Cost: 12.4788
Epoch: 003/050 | Batch 0300/0462 | Cost: 12.0767
Epoch: 003/050 | Batch 0350/0462 | Cost: 12.2516
Epoch: 003/050 | Batch 0400/0462 | Cost: 12.4317
