PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 1
Task Importance Weight: 0
Output Path: ../my-logs/myafad-coral-0.2-3-seed1
Script: afad-coral.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 18.8871
Epoch: 001/050 | Batch 0050/0462 | Cost: 16.7992
Epoch: 001/050 | Batch 0100/0462 | Cost: 16.2071
Epoch: 001/050 | Batch 0150/0462 | Cost: 16.1249
Epoch: 001/050 | Batch 0200/0462 | Cost: 15.6751
Epoch: 001/050 | Batch 0250/0462 | Cost: 16.2074
Epoch: 001/050 | Batch 0300/0462 | Cost: 15.3174
Epoch: 001/050 | Batch 0350/0462 | Cost: 15.0532
Epoch: 001/050 | Batch 0400/0462 | Cost: 15.2078
Epoch: 001/050 | Batch 0450/0462 | Cost: 15.0810
MAE/RMSE/Loss/Accuracy: | Current Valid: 8.02/9.68/14.8598/2.57% Ep. 0 | Best Valid : 8.02/9.68/14.8598/2.57% Ep. 0
Time elapsed: 3.29 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 15.0639
Epoch: 002/050 | Batch 0050/0462 | Cost: 14.6381
Epoch: 002/050 | Batch 0100/0462 | Cost: 14.4788
Epoch: 002/050 | Batch 0150/0462 | Cost: 14.3308
Epoch: 002/050 | Batch 0200/0462 | Cost: 13.8748
Epoch: 002/050 | Batch 0250/0462 | Cost: 14.3407
Epoch: 002/050 | Batch 0300/0462 | Cost: 13.6196
Epoch: 002/050 | Batch 0350/0462 | Cost: 13.7891
Epoch: 002/050 | Batch 0400/0462 | Cost: 13.7417
Epoch: 002/050 | Batch 0450/0462 | Cost: 13.9281
MAE/RMSE/Loss/Accuracy: | Current Valid: 6.73/8.32/13.5031/3.95% Ep. 1 | Best Valid : 6.73/8.32/13.5031/3.95% Ep. 1
Time elapsed: 6.59 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 13.7178
Epoch: 003/050 | Batch 0050/0462 | Cost: 13.2726
Epoch: 003/050 | Batch 0100/0462 | Cost: 13.3877
Epoch: 003/050 | Batch 0150/0462 | Cost: 13.1363
Epoch: 003/050 | Batch 0200/0462 | Cost: 13.2746
Epoch: 003/050 | Batch 0250/0462 | Cost: 12.9587
Epoch: 003/050 | Batch 0300/0462 | Cost: 12.9076
Epoch: 003/050 | Batch 0350/0462 | Cost: 12.7101
Epoch: 003/050 | Batch 0400/0462 | Cost: 12.5766
Epoch: 003/050 | Batch 0450/0462 | Cost: 12.4447
MAE/RMSE/Loss/Accuracy: | Current Valid: 5.94/7.41/12.6234/5.03% Ep. 2 | Best Valid : 5.94/7.41/12.6234/5.03% Ep. 2
Time elapsed: 9.88 min
Epoch: 004/050 | Batch 0000/0462 | Cost: 12.4520
Epoch: 004/050 | Batch 0050/0462 | Cost: 12.4667
Epoch: 004/050 | Batch 0100/0462 | Cost: 12.1365
Epoch: 004/050 | Batch 0150/0462 | Cost: 12.2642
Epoch: 004/050 | Batch 0200/0462 | Cost: 11.8583
Epoch: 004/050 | Batch 0250/0462 | Cost: 12.0300
Epoch: 004/050 | Batch 0300/0462 | Cost: 12.0228
Epoch: 004/050 | Batch 0350/0462 | Cost: 12.0611
Epoch: 004/050 | Batch 0400/0462 | Cost: 11.5184
Epoch: 004/050 | Batch 0450/0462 | Cost: 11.8425
MAE/RMSE/Loss/Accuracy: | Current Valid: 4.49/5.82/11.5985/7.61% Ep. 3 | Best Valid : 4.49/5.82/11.5985/7.61% Ep. 3
Time elapsed: 13.17 min
Epoch: 005/050 | Batch 0000/0462 | Cost: 11.4808
Epoch: 005/050 | Batch 0050/0462 | Cost: 11.3568
Epoch: 005/050 | Batch 0100/0462 | Cost: 11.3798
Epoch: 005/050 | Batch 0150/0462 | Cost: 11.2197
Epoch: 005/050 | Batch 0200/0462 | Cost: 10.8479
Epoch: 005/050 | Batch 0250/0462 | Cost: 10.9086
Epoch: 005/050 | Batch 0300/0462 | Cost: 11.4783
Epoch: 005/050 | Batch 0350/0462 | Cost: 11.1575
Epoch: 005/050 | Batch 0400/0462 | Cost: 11.1436
Epoch: 005/050 | Batch 0450/0462 | Cost: 11.0695
MAE/RMSE/Loss/Accuracy: | Current Valid: 4.57/5.96/11.3969/7.05% Ep. 4 | Best Valid : 4.49/5.82/11.5985/7.61% Ep. 3
Time elapsed: 16.46 min
Epoch: 006/050 | Batch 0000/0462 | Cost: 10.8009
Epoch: 006/050 | Batch 0050/0462 | Cost: 10.6041
Epoch: 006/050 | Batch 0100/0462 | Cost: 11.0877
Epoch: 006/050 | Batch 0150/0462 | Cost: 10.6043
Epoch: 006/050 | Batch 0200/0462 | Cost: 10.3751
Epoch: 006/050 | Batch 0250/0462 | Cost: 10.5743
Epoch: 006/050 | Batch 0300/0462 | Cost: 10.6541
Epoch: 006/050 | Batch 0350/0462 | Cost: 10.5724
Epoch: 006/050 | Batch 0400/0462 | Cost: 10.6019
Epoch: 006/050 | Batch 0450/0462 | Cost: 10.1131
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.98/5.25/10.4307/8.67% Ep. 5 | Best Valid : 3.98/5.25/10.4307/8.67% Ep. 5
Time elapsed: 19.75 min
Epoch: 007/050 | Batch 0000/0462 | Cost: 10.3940
Epoch: 007/050 | Batch 0050/0462 | Cost: 10.2401
Epoch: 007/050 | Batch 0100/0462 | Cost: 10.3256
Epoch: 007/050 | Batch 0150/0462 | Cost: 10.3260
Epoch: 007/050 | Batch 0200/0462 | Cost: 10.2566
