PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 1
Task Importance Weight: 0
Output Path: ../my-logs/myafad-coral-seed1
Script: afad-coral.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 18.8757
Epoch: 001/050 | Batch 0050/0462 | Cost: 16.8297
Epoch: 001/050 | Batch 0100/0462 | Cost: 16.0053
Epoch: 001/050 | Batch 0150/0462 | Cost: 16.1238
Epoch: 001/050 | Batch 0200/0462 | Cost: 15.6820
Epoch: 001/050 | Batch 0250/0462 | Cost: 16.0447
Epoch: 001/050 | Batch 0300/0462 | Cost: 15.2918
Epoch: 001/050 | Batch 0350/0462 | Cost: 14.9630
Epoch: 001/050 | Batch 0400/0462 | Cost: 15.0967
Epoch: 001/050 | Batch 0450/0462 | Cost: 14.9126
MAE/RMSE/Loss/Accuracy: | Current Valid: 8.23/9.90/14.9482/2.74% Ep. 0 | Best Valid : 8.23/9.90/14.9482/2.74% Ep. 0
Time elapsed: 2.88 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 15.0263
Epoch: 002/050 | Batch 0050/0462 | Cost: 14.6032
Epoch: 002/050 | Batch 0100/0462 | Cost: 14.5125
Epoch: 002/050 | Batch 0150/0462 | Cost: 14.3028
Epoch: 002/050 | Batch 0200/0462 | Cost: 13.9400
Epoch: 002/050 | Batch 0250/0462 | Cost: 14.2333
Epoch: 002/050 | Batch 0300/0462 | Cost: 13.8195
Epoch: 002/050 | Batch 0350/0462 | Cost: 13.7150
Epoch: 002/050 | Batch 0400/0462 | Cost: 13.7283
Epoch: 002/050 | Batch 0450/0462 | Cost: 13.8446
MAE/RMSE/Loss/Accuracy: | Current Valid: 6.35/7.95/13.4809/4.91% Ep. 1 | Best Valid : 6.35/7.95/13.4809/4.91% Ep. 1
Time elapsed: 6.17 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 13.4745
Epoch: 003/050 | Batch 0050/0462 | Cost: 13.0656
Epoch: 003/050 | Batch 0100/0462 | Cost: 13.3042
Epoch: 003/050 | Batch 0150/0462 | Cost: 13.1188
Epoch: 003/050 | Batch 0200/0462 | Cost: 13.2349
Epoch: 003/050 | Batch 0250/0462 | Cost: 12.9376
Epoch: 003/050 | Batch 0300/0462 | Cost: 12.6542
Epoch: 003/050 | Batch 0350/0462 | Cost: 12.5680
Epoch: 003/050 | Batch 0400/0462 | Cost: 12.5510
Epoch: 003/050 | Batch 0450/0462 | Cost: 12.2751
MAE/RMSE/Loss/Accuracy: | Current Valid: 4.69/6.10/12.5097/7.38% Ep. 2 | Best Valid : 4.69/6.10/12.5097/7.38% Ep. 2
Time elapsed: 9.46 min
Epoch: 004/050 | Batch 0000/0462 | Cost: 12.2728
Epoch: 004/050 | Batch 0050/0462 | Cost: 12.2403
Epoch: 004/050 | Batch 0100/0462 | Cost: 11.9680
Epoch: 004/050 | Batch 0150/0462 | Cost: 12.1591
Epoch: 004/050 | Batch 0200/0462 | Cost: 11.8765
Epoch: 004/050 | Batch 0250/0462 | Cost: 11.6999
Epoch: 004/050 | Batch 0300/0462 | Cost: 11.9290
Epoch: 004/050 | Batch 0350/0462 | Cost: 11.8992
Epoch: 004/050 | Batch 0400/0462 | Cost: 11.4002
Epoch: 004/050 | Batch 0450/0462 | Cost: 11.7276
MAE/RMSE/Loss/Accuracy: | Current Valid: 4.93/6.33/11.6466/6.80% Ep. 3 | Best Valid : 4.69/6.10/12.5097/7.38% Ep. 2
Time elapsed: 12.75 min
Epoch: 005/050 | Batch 0000/0462 | Cost: 11.2725
Epoch: 005/050 | Batch 0050/0462 | Cost: 11.2106
Epoch: 005/050 | Batch 0100/0462 | Cost: 11.2771
Epoch: 005/050 | Batch 0150/0462 | Cost: 11.0537
Epoch: 005/050 | Batch 0200/0462 | Cost: 10.7034
Epoch: 005/050 | Batch 0250/0462 | Cost: 10.8240
Epoch: 005/050 | Batch 0300/0462 | Cost: 11.2759
Epoch: 005/050 | Batch 0350/0462 | Cost: 10.9301
Epoch: 005/050 | Batch 0400/0462 | Cost: 10.9013
Epoch: 005/050 | Batch 0450/0462 | Cost: 10.9941
MAE/RMSE/Loss/Accuracy: | Current Valid: 4.45/5.86/11.0045/7.90% Ep. 4 | Best Valid : 4.45/5.86/11.0045/7.90% Ep. 4
Time elapsed: 16.05 min
Epoch: 006/050 | Batch 0000/0462 | Cost: 10.7709
Epoch: 006/050 | Batch 0050/0462 | Cost: 10.5021
Epoch: 006/050 | Batch 0100/0462 | Cost: 10.8002
Epoch: 006/050 | Batch 0150/0462 | Cost: 10.5271
Epoch: 006/050 | Batch 0200/0462 | Cost: 10.3605
Epoch: 006/050 | Batch 0250/0462 | Cost: 10.4248
Epoch: 006/050 | Batch 0300/0462 | Cost: 10.6105
Epoch: 006/050 | Batch 0350/0462 | Cost: 10.2651
Epoch: 006/050 | Batch 0400/0462 | Cost: 10.3862
Epoch: 006/050 | Batch 0450/0462 | Cost: 9.9885
MAE/RMSE/Loss/Accuracy: | Current Valid: 4.00/5.29/10.3797/9.05% Ep. 5 | Best Valid : 4.00/5.29/10.3797/9.05% Ep. 5
Time elapsed: 19.34 min
Epoch: 007/050 | Batch 0000/0462 | Cost: 10.2229
Epoch: 007/050 | Batch 0050/0462 | Cost: 10.0184
Epoch: 007/050 | Batch 0100/0462 | Cost: 10.1956
Epoch: 007/050 | Batch 0150/0462 | Cost: 10.0507
Epoch: 007/050 | Batch 0200/0462 | Cost: 10.0225
Epoch: 007/050 | Batch 0250/0462 | Cost: 10.0006
Epoch: 007/050 | Batch 0300/0462 | Cost: 10.7494
Epoch: 007/050 | Batch 0350/0462 | Cost: 9.6528
Epoch: 007/050 | Batch 0400/0462 | Cost: 9.6916
Epoch: 007/050 | Batch 0450/0462 | Cost: 9.7033
MAE/RMSE/Loss/Accuracy: | Current Valid: 4.11/5.45/9.9805/8.68% Ep. 6 | Best Valid : 4.00/5.29/10.3797/9.05% Ep. 5
Time elapsed: 22.63 min
Epoch: 008/050 | Batch 0000/0462 | Cost: 9.5618
Epoch: 008/050 | Batch 0050/0462 | Cost: 9.4500
Epoch: 008/050 | Batch 0100/0462 | Cost: 9.6044
Epoch: 008/050 | Batch 0150/0462 | Cost: 9.3463
Epoch: 008/050 | Batch 0200/0462 | Cost: 9.0864
Epoch: 008/050 | Batch 0250/0462 | Cost: 9.2935
Epoch: 008/050 | Batch 0300/0462 | Cost: 9.7776
Epoch: 008/050 | Batch 0350/0462 | Cost: 9.2213
Epoch: 008/050 | Batch 0400/0462 | Cost: 8.9734
Epoch: 008/050 | Batch 0450/0462 | Cost: 9.4172
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.90/5.22/9.7096/9.30% Ep. 7 | Best Valid : 3.90/5.22/9.7096/9.30% Ep. 7
Time elapsed: 25.92 min
Epoch: 009/050 | Batch 0000/0462 | Cost: 9.3469
Epoch: 009/050 | Batch 0050/0462 | Cost: 9.1765
Epoch: 009/050 | Batch 0100/0462 | Cost: 8.9752
Epoch: 009/050 | Batch 0150/0462 | Cost: 9.1820
Epoch: 009/050 | Batch 0200/0462 | Cost: 9.1149
Epoch: 009/050 | Batch 0250/0462 | Cost: 9.2541
Epoch: 009/050 | Batch 0300/0462 | Cost: 9.1022
Epoch: 009/050 | Batch 0350/0462 | Cost: 9.0547
Epoch: 009/050 | Batch 0400/0462 | Cost: 8.8527
Epoch: 009/050 | Batch 0450/0462 | Cost: 8.9673
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.69/4.93/9.2671/9.31% Ep. 8 | Best Valid : 3.69/4.93/9.2671/9.31% Ep. 8
Time elapsed: 29.21 min
Epoch: 010/050 | Batch 0000/0462 | Cost: 8.8058
Epoch: 010/050 | Batch 0050/0462 | Cost: 8.7782
Epoch: 010/050 | Batch 0100/0462 | Cost: 8.9585
Epoch: 010/050 | Batch 0150/0462 | Cost: 8.9235
Epoch: 010/050 | Batch 0200/0462 | Cost: 9.1821
Epoch: 010/050 | Batch 0250/0462 | Cost: 9.0509
Epoch: 010/050 | Batch 0300/0462 | Cost: 8.6544
Epoch: 010/050 | Batch 0350/0462 | Cost: 8.6970
Epoch: 010/050 | Batch 0400/0462 | Cost: 8.7636
Epoch: 010/050 | Batch 0450/0462 | Cost: 8.9599
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.92/5.30/9.3454/9.74% Ep. 9 | Best Valid : 3.69/4.93/9.2671/9.31% Ep. 8
Time elapsed: 32.50 min
Epoch: 011/050 | Batch 0000/0462 | Cost: 8.8497
Epoch: 011/050 | Batch 0050/0462 | Cost: 8.8424
Epoch: 011/050 | Batch 0100/0462 | Cost: 8.4947
Epoch: 011/050 | Batch 0150/0462 | Cost: 8.8902
Epoch: 011/050 | Batch 0200/0462 | Cost: 8.7255
Epoch: 011/050 | Batch 0250/0462 | Cost: 8.5133
Epoch: 011/050 | Batch 0300/0462 | Cost: 9.2233
Epoch: 011/050 | Batch 0350/0462 | Cost: 8.3095
Epoch: 011/050 | Batch 0400/0462 | Cost: 8.5893
Epoch: 011/050 | Batch 0450/0462 | Cost: 8.3501
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.65/4.94/8.8402/10.27% Ep. 10 | Best Valid : 3.65/4.94/8.8402/10.27% Ep. 10
Time elapsed: 35.79 min
Epoch: 012/050 | Batch 0000/0462 | Cost: 7.9960
Epoch: 012/050 | Batch 0050/0462 | Cost: 7.9295
Epoch: 012/050 | Batch 0100/0462 | Cost: 8.2456
Epoch: 012/050 | Batch 0150/0462 | Cost: 7.9476
Epoch: 012/050 | Batch 0200/0462 | Cost: 8.0537
Epoch: 012/050 | Batch 0250/0462 | Cost: 7.7563
Epoch: 012/050 | Batch 0300/0462 | Cost: 8.1697
Epoch: 012/050 | Batch 0350/0462 | Cost: 8.3959
Epoch: 012/050 | Batch 0400/0462 | Cost: 7.9610
Epoch: 012/050 | Batch 0450/0462 | Cost: 8.1461
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.58/4.79/8.7172/9.85% Ep. 11 | Best Valid : 3.58/4.79/8.7172/9.85% Ep. 11
Time elapsed: 39.09 min
Epoch: 013/050 | Batch 0000/0462 | Cost: 8.1014
Epoch: 013/050 | Batch 0050/0462 | Cost: 7.8632
Epoch: 013/050 | Batch 0100/0462 | Cost: 8.0144
Epoch: 013/050 | Batch 0150/0462 | Cost: 7.7549
Epoch: 013/050 | Batch 0200/0462 | Cost: 7.8901
Epoch: 013/050 | Batch 0250/0462 | Cost: 7.7162
Epoch: 013/050 | Batch 0300/0462 | Cost: 8.3046
Epoch: 013/050 | Batch 0350/0462 | Cost: 7.9565
Epoch: 013/050 | Batch 0400/0462 | Cost: 8.1383
Epoch: 013/050 | Batch 0450/0462 | Cost: 7.6897
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.70/4.98/8.6590/9.87% Ep. 12 | Best Valid : 3.58/4.79/8.7172/9.85% Ep. 11
Time elapsed: 42.38 min
Epoch: 014/050 | Batch 0000/0462 | Cost: 7.5486
Epoch: 014/050 | Batch 0050/0462 | Cost: 7.9545
Epoch: 014/050 | Batch 0100/0462 | Cost: 7.8074
Epoch: 014/050 | Batch 0150/0462 | Cost: 7.5925
Epoch: 014/050 | Batch 0200/0462 | Cost: 7.0711
Epoch: 014/050 | Batch 0250/0462 | Cost: 7.5372
Epoch: 014/050 | Batch 0300/0462 | Cost: 8.5520
Epoch: 014/050 | Batch 0350/0462 | Cost: 7.7261
Epoch: 014/050 | Batch 0400/0462 | Cost: 7.2121
Epoch: 014/050 | Batch 0450/0462 | Cost: 7.4915
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.68/5.06/8.7624/10.88% Ep. 13 | Best Valid : 3.58/4.79/8.7172/9.85% Ep. 11
Time elapsed: 45.67 min
Epoch: 015/050 | Batch 0000/0462 | Cost: 7.4171
Epoch: 015/050 | Batch 0050/0462 | Cost: 7.2394
Epoch: 015/050 | Batch 0100/0462 | Cost: 7.7935
Epoch: 015/050 | Batch 0150/0462 | Cost: 7.2660
Epoch: 015/050 | Batch 0200/0462 | Cost: 7.1689
Epoch: 015/050 | Batch 0250/0462 | Cost: 7.9811
Epoch: 015/050 | Batch 0300/0462 | Cost: 7.0731
Epoch: 015/050 | Batch 0350/0462 | Cost: 6.9618
Epoch: 015/050 | Batch 0400/0462 | Cost: 7.2073
Epoch: 015/050 | Batch 0450/0462 | Cost: 7.3502
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.60/4.87/8.4239/10.47% Ep. 14 | Best Valid : 3.58/4.79/8.7172/9.85% Ep. 11
Time elapsed: 48.96 min
Epoch: 016/050 | Batch 0000/0462 | Cost: 7.5911
Epoch: 016/050 | Batch 0050/0462 | Cost: 6.6538
Epoch: 016/050 | Batch 0100/0462 | Cost: 7.0741
Epoch: 016/050 | Batch 0150/0462 | Cost: 6.6145
Epoch: 016/050 | Batch 0200/0462 | Cost: 7.2561
